Region	Activity	lower_frequency	upper_frequency	Category	Service	Footnotes
US	Federal Government	7450000000	7550000000	s	Mobile-Satellite (space-to-Earth)	
US	Federal Government	7550000000	7750000000		-	G117
US	Federal Government	7550000000	7750000000	p	Fixed	
US	Federal Government	7550000000	7750000000	p	Fixed-Satellite (space-to-Earth)	
US	Federal Government	7550000000	7750000000	s	Mobile-Satellite (space-to-Earth)	
US	Federal Government	7750000000	7850000000		-	5.461B
US	Federal Government	7750000000	7850000000	p	Fixed	
US	Federal Government	7750000000	7850000000	p	Meteorological-Satellite (space-to-Earth)	
US	Federal Government	7850000000	7900000000	p	Fixed	
US	Federal Government	7900000000	8025000000		-	G117
US	Federal Government	7900000000	8025000000	s	Fixed	
US	Federal Government	7900000000	8025000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	7900000000	8025000000	p	Mobile-Satellite (Earth-to-space)	
US	Federal Government	8025000000	8175000000		-	US258,G117
US	Federal Government	8025000000	8175000000	p	Earth Exploration-Satellite (space-to-Earth)	
US	Federal Government	8025000000	8175000000	p	Fixed	
US	Federal Government	8025000000	8175000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	8025000000	8175000000	s	Mobile-Satellite (Earth-to-space)	
US	Federal Government	8175000000	8215000000		-	US258,G104,G117
US	Federal Government	8175000000	8215000000	p	Earth Exploration-Satellite (space-to-Earth)	
US	Federal Government	8175000000	8215000000	p	Fixed	
US	Federal Government	8175000000	8215000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	8175000000	8215000000	p	Meteorological-Satellite (Earth-to-space)	
US	Federal Government	8175000000	8215000000	s	Mobile-Satellite (Earth-to-space)	
US	Federal Government	8215000000	8400000000		-	US258,G117
US	Federal Government	8215000000	8400000000	p	Earth Exploration-Satellite (space-to-Earth)	
US	Federal Government	8215000000	8400000000	p	Fixed	
US	Federal Government	8215000000	8400000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	8215000000	8400000000	s	Mobile-Satellite (Earth-to-space)	
US	Federal Government	8400000000	8450000000	p	Fixed	
US	Federal Government	8400000000	8450000000	p	Space Research (deep space)	
US	Federal Government	8450000000	8500000000	p	Fixed	
US	Federal Government	8450000000	8500000000	p	Space Research (space-to-Earth)	
US	Federal Government	8500000000	8550000000	p	Radiolocation	G59
US	Federal Government	8550000000	8650000000	p	Earth Exploration-Satellite (active)	
US	Federal Government	8550000000	8650000000	p	Radiolocation	G59
US	Federal Government	8550000000	8650000000	p	Space Research (active)	
US	Federal Government	8650000000	9000000000		-	US53
US	Federal Government	8650000000	9000000000	p	Radiolocation	G59
US	Federal Government	9000000000	9200000000		-	US48,G19
US	Federal Government	9000000000	9200000000	p	Aeronautical Radionavigation	5.337
US	Federal Government	9000000000	9200000000	s	Radiolocation	G2
US	Federal Government	9200000000	9300000000		-	5.474
US	Federal Government	9200000000	9300000000	p	Maritime Radionavigation	5.472
US	Federal Government	9200000000	9300000000	s	Radiolocation	US110,G59
US	Federal Government	9300000000	9500000000		-	5.427,5.474,US67,US71
US	Federal Government	9300000000	9500000000	s	Meteorological Aids	
US	Federal Government	9300000000	9500000000	s	Radiolocation	US51,G56
US	Federal Government	9300000000	9500000000	p	Radionavigation	US66
US	Federal Government	9500000000	9800000000	p	Earth Exploration-Satellite (active)	
US	Federal Government	9500000000	9800000000	p	Radiolocation	
US	Federal Government	9500000000	9800000000	p	Space Research (active)	
US	Federal Government	9800000000	10000000000		-	5.479
US	Federal Government	9800000000	10000000000	p	Radiolocation	
US	Federal Government	10000000000	10500000000		-	5.479
US	Federal Government	10000000000	10500000000	p	Radiolocation	US58,US108,G32
US	Federal Government	10500000000	10550000000	p	Radiolocation	US59
US	Federal Government	10550000000	10600000000		-	
US	Federal Government	10600000000	10680000000		-	US265,US277
US	Federal Government	10600000000	10680000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	10600000000	10680000000	p	Space Research (passive)	
US	Federal Government	10680000000	10700000000		-	US246,US355
US	Federal Government	10680000000	10700000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	10680000000	10700000000	p	Radio Astronomy	US74
US	Federal Government	10680000000	10700000000	p	Space Research (passive)	
US	Federal Government	10700000000	11700000000		-	US211
US	Federal Government	11700000000	12200000000		-	
US	Federal Government	12200000000	12750000000		-	
US	Federal Government	12750000000	13250000000		-	US251
US	Federal Government	13250000000	13400000000		-	5.498A
US	Federal Government	13250000000	13400000000	p	Aeronautical Radionavigation	5.497
US	Federal Government	13250000000	13400000000	p	Earth Exploration-Satellite (active)	
US	Federal Government	13250000000	13400000000	p	Space Research (active)	
US	Federal Government	13400000000	13750000000		-	5.501B
US	Federal Government	13400000000	13750000000	p	Earth Exploration-Satellite (active)	
US	Federal Government	13400000000	13750000000	p	Radiolocation	G59
US	Federal Government	13400000000	13750000000	p	Space Research	5.501A
US	Federal Government	13400000000	13750000000	s	Standard Frequency And Time Signal-Satellite (Earth-to-space)	
US	Federal Government	13750000000	14000000000		-	US356,US357
US	Federal Government	13750000000	14000000000	p	Radiolocation	G59
US	Federal Government	13750000000	14000000000	s	Space Research	US337
US	Federal Government	13750000000	14000000000	s	Standard Frequency And Time Signal-Satellite (Earth-to-space)	
US	Federal Government	14000000000	14200000000	s	Space Research	
US	Federal Government	14200000000	14400000000		-	
US	Federal Government	14400000000	14470000000	s	Fixed	
US	Federal Government	14400000000	14470000000	s	Mobile	
US	Federal Government	14470000000	14500000000		-	US203,US342
US	Federal Government	14470000000	14500000000	s	Fixed	
US	Federal Government	14470000000	14500000000	s	Mobile	
US	Federal Government	14500000000	14714500000	p	Fixed	
US	Federal Government	14500000000	14714500000	s	Mobile	
US	Federal Government	14500000000	14714500000	s	Space Research	
US	Federal Government	14714500000	14800000000	s	Fixed	
US	Federal Government	14714500000	14800000000	p	Mobile	
US	Federal Government	14714500000	14800000000	s	Space Research	
US	Federal Government	14800000000	15136500000		-	US310
US	Federal Government	14800000000	15136500000	s	Fixed	
US	Federal Government	14800000000	15136500000	p	Mobile	
US	Federal Government	14800000000	15136500000	p	Space Research	
US	Federal Government	15136500000	15350000000		-	5.339,US211
US	Federal Government	15136500000	15350000000	p	Fixed	
US	Federal Government	15136500000	15350000000	s	Mobile	
US	Federal Government	15136500000	15350000000	p	Space Research	
US	Federal Government	15350000000	15400000000		-	US246
US	Federal Government	15350000000	15400000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	15350000000	15400000000	p	Radio Astronomy	US74
US	Federal Government	15350000000	15400000000	p	Space Research (passive)	
US	Federal Government	15400000000	15430000000		-	US211
US	Federal Government	15400000000	15430000000	p	Aeronautical Radionavigation	US260
US	Federal Government	15430000000	15630000000		-	5.511C,US211,US359
US	Federal Government	15430000000	15630000000	p	Aeronautical Radionavigation	US260
US	Federal Government	15630000000	15700000000		-	US211
US	Federal Government	15630000000	15700000000	p	Aeronautical Radionavigation	US260
US	Federal Government	15700000000	16600000000	p	Radiolocation	G59
US	Federal Government	16600000000	17100000000	p	Radiolocation	G59
US	Federal Government	16600000000	17100000000	s	Space Research (deep space)	
US	Federal Government	17100000000	17200000000	p	Radiolocation	G59
US	Federal Government	17200000000	17300000000	p	Earth Exploration-Satellite (active)	
US	Federal Government	17200000000	17300000000	p	Radiolocation	G59
US	Federal Government	17200000000	17300000000	p	Space Research (active)	
US	Federal Government	17300000000	17700000000		-	US402,G117
US	Federal Government	17300000000	17700000000	s	Radiolocation	US259,G59
US	Federal Government	17700000000	17800000000		-	US401
US	Federal Government	17800000000	18300000000		-	US334,US519
US	Federal Government	17800000000	18300000000	p	Fixed-Satellite (space-to-Earth) 	G117
US	Federal Government	18300000000	18600000000		-	US334
US	Federal Government	18300000000	18600000000	p	Fixed-Satellite (space-to-Earth) 	G117
US	Federal Government	18600000000	18800000000		-	US254,US334
US	Federal Government	18600000000	18800000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	18600000000	18800000000	p	Fixed-Satellite (space-to-Earth) 	US255,G117
US	Federal Government	18600000000	18800000000	p	Space Research (passive)	
US	Federal Government	18800000000	20200000000		-	US334
US	Federal Government	18800000000	20200000000	p	Fixed-Satellite (space-to-Earth) 	G117
US	Federal Government	20200000000	21200000000		-	G117
US	Federal Government	20200000000	21200000000	p	Fixed-Satellite (space-to-Earth)	
US	Federal Government	20200000000	21200000000	p	Mobile-Satellite (space-to-Earth)	
US	Federal Government	20200000000	21200000000	s	Standard Frequency And Time Signal-Satellite (space-to-Earth)	
US	Federal Government	21200000000	21400000000		-	US263
US	Federal Government	21200000000	21400000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	21200000000	21400000000	p	Fixed	
US	Federal Government	21200000000	21400000000	p	Mobile	
US	Federal Government	21200000000	21400000000	p	Space Research (passive)	
US	Federal Government	21400000000	22000000000	p	Fixed	
US	Federal Government	21400000000	22000000000	p	Mobile	
US	Federal Government	22000000000	22210000000		-	US342
US	Federal Government	22000000000	22210000000	p	Fixed	
US	Federal Government	22000000000	22210000000	p	Mobile except aeronautical mobile	
US	Federal Government	22210000000	22500000000		-	US263,US342
US	Federal Government	22210000000	22500000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	22210000000	22500000000	p	Fixed	
US	Federal Government	22210000000	22500000000	p	Mobile except aeronautical mobile	
US	Federal Government	22210000000	22500000000	p	Radio Astronomy	
US	Federal Government	22210000000	22500000000	p	Space Research (passive)	
US	Federal Government	22500000000	22550000000		-	US211
US	Federal Government	22500000000	22550000000	p	Fixed	
US	Federal Government	22500000000	22550000000	p	Mobile	
US	Federal Government	22550000000	23550000000		-	US342
US	Federal Government	22550000000	23550000000	p	Fixed	
US	Federal Government	22550000000	23550000000	p	Inter-Satellite	US278
US	Federal Government	22550000000	23550000000	p	Mobile	
US	Federal Government	23550000000	23600000000	p	Fixed	
US	Federal Government	23550000000	23600000000	p	Mobile	
US	Federal Government	23600000000	24000000000		-	US246
US	Federal Government	23600000000	24000000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	23600000000	24000000000	p	Radio Astronomy	US74
US	Federal Government	23600000000	24000000000	p	Space Research (passive)	
US	Federal Government	24000000000	24050000000		-	5.150,US211
US	Federal Government	24050000000	24250000000		-	5.15
US	Federal Government	24050000000	24250000000	s	Earth Exploration-Satellite (active)	
US	Federal Government	24050000000	24250000000	p	Radiolocation  G59	
US	Federal Government	24250000000	24450000000		-	
US	Federal Government	24450000000	24650000000		-	5.533
US	Federal Government	24450000000	24650000000	p	Inter-Satellite	
US	Federal Government	24450000000	24650000000	p	Radionavigation	
US	Federal Government	24650000000	24750000000	p	Inter-Satellite	
US	Federal Government	24650000000	24750000000	p	Radiolocation-Satellite (Earth-to-space)	
US	Federal Government	24750000000	25050000000	p	Radionavigation	
US	Federal Government	25050000000	25250000000		-	
US	Federal Government	25250000000	25500000000	p	Fixed	
US	Federal Government	25250000000	25500000000	p	Inter-Satellite	5.536
US	Federal Government	25250000000	25500000000	p	Mobile	
US	Federal Government	25250000000	25500000000	s	Standard Frequency And Time Signal-Satellite (Earth-to-space)	
US	Federal Government	25500000000	27000000000		-	5.536A,US258
US	Federal Government	25500000000	27000000000	p	Earth Exploration-Satellite (space-to-Earth)	
US	Federal Government	25500000000	27000000000	p	Fixed	
US	Federal Government	25500000000	27000000000	p	Inter-Satellite	5.536
US	Federal Government	25500000000	27000000000	p	Mobile	
US	Federal Government	25500000000	27000000000	p	Space Research (space-to-Earth)	
US	Federal Government	25500000000	27000000000	s	Standard Frequency And Time Signal-Satellite (Earth-to-space)	
US	Federal Government	27000000000	27500000000	p	Fixed	
US	Federal Government	27000000000	27500000000	p	Inter-Satellite	5.536
US	Federal Government	27000000000	27500000000	p	Mobile	
US	Federal Government	27500000000	30000000000		-	
US	Federal Government	30000000000	31000000000		-	G117
US	Federal Government	30000000000	31000000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	30000000000	31000000000	p	Mobile-Satellite (Earth-to-space)	
US	Federal Government	30000000000	31000000000	s	Standard Frequency And Time Signal-Satellite (space-to-Earth)	
US	Federal Government	31000000000	31300000000		-	US211,US342
US	Federal Government	31000000000	31300000000	s	Standard Frequency And Time Signal-Satellite (space-to-Earth)	
US	Federal Government	31300000000	31800000000		-	US246
US	Federal Government	31300000000	31800000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	31300000000	31800000000	p	Radio Astronomy	US74
US	Federal Government	31300000000	31800000000	p	Space Research (passive)	
US	Federal Government	31800000000	32300000000		-	5.548,US211
US	Federal Government	31800000000	32300000000	p	Radionavigation	US69
US	Federal Government	31800000000	32300000000	p	Space Research (deep space) 	US262
US	Federal Government	32300000000	33000000000		-	5.548
US	Federal Government	32300000000	33000000000	p	Inter-Satellite	US278
US	Federal Government	32300000000	33000000000	p	Radionavigation	US69
US	Federal Government	33000000000	33400000000		-	US360,G117
US	Federal Government	33000000000	33400000000	p	Radionavigation	US69
US	Federal Government	33400000000	34200000000		-	US360,G117
US	Federal Government	33400000000	34200000000	p	Radiolocation	
US	Federal Government	34200000000	34700000000		-	US360,G34,G117
US	Federal Government	34200000000	34700000000	p	Radiolocation	
US	Federal Government	34200000000	34700000000	p	Space Research (deep space) 	US262
US	Federal Government	34700000000	35500000000		-	US360,G117
US	Federal Government	34700000000	35500000000	p	Radiolocation	
US	Federal Government	35500000000	36000000000		-	US360,G117
US	Federal Government	35500000000	36000000000	p	Earth Exploration-Satellite (active)	
US	Federal Government	35500000000	36000000000	p	Radiolocation	
US	Federal Government	35500000000	36000000000	p	Space Research (active)	
US	Federal Government	36000000000	37000000000		-	US263,US342
US	Federal Government	36000000000	37000000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	36000000000	37000000000	p	Fixed	
US	Federal Government	36000000000	37000000000	p	Mobile	
US	Federal Government	36000000000	37000000000	p	Space Research (passive)	
US	Federal Government	37000000000	38000000000	p	Fixed	
US	Federal Government	37000000000	38000000000	p	Mobile	
US	Federal Government	37000000000	38000000000	p	Space Research (space-to-Earth)	
US	Federal Government	38000000000	38600000000	p	Fixed	
US	Federal Government	38000000000	38600000000	p	Mobile	
US	Federal Government	38600000000	39500000000		-	
US	Federal Government	39500000000	40000000000		-	G117
US	Federal Government	39500000000	40000000000	p	Fixed-Satellite (space-to-Earth)	
US	Federal Government	39500000000	40000000000	p	Mobile-Satellite (space-to-Earth) 	US382
US	Federal Government	40000000000	40500000000		-	G117
US	Federal Government	40000000000	40500000000	p	Earth Exploration-Satellite (Earth-to-space)	
US	Federal Government	40000000000	40500000000	s	Earth Exploration-Satellite (space-to-Earth)	
US	Federal Government	40000000000	40500000000	p	Fixed-Satellite (space-to-Earth)	
US	Federal Government	40000000000	40500000000	p	Mobile-Satellite (space-to-Earth)	
US	Federal Government	40000000000	40500000000	p	Space Research (Earth-to-space)	
US	Federal Government	40500000000	41000000000		-	US211,G117
US	Federal Government	40500000000	41000000000	p	Fixed-Satellite (space-to-Earth)	
US	Federal Government	40500000000	41000000000	s	Mobile-Satellite (space-to-Earth)	
US	Federal Government	41000000000	42500000000		-	US211
US	Federal Government	42500000000	43500000000		-	US342
US	Federal Government	42500000000	43500000000	p	Fixed	
US	Federal Government	42500000000	43500000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	42500000000	43500000000	p	Mobile except aeronautical mobile	
US	Federal Government	42500000000	43500000000	p	Radio Astronomy	
US	Federal Government	43500000000	45500000000		-	G117
US	Federal Government	43500000000	45500000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	43500000000	45500000000	p	Mobile-Satellite (Earth-to-space)	
US	Federal Government	45500000000	46900000000		-	5.554
US	Federal Government	45500000000	46900000000	p	Mobile	
US	Federal Government	45500000000	46900000000	p	Mobile-Satellite (Earth-to-space)	
US	Federal Government	45500000000	46900000000	p	Radionavigation-Satellite	
US	Federal Government	46900000000	47000000000		-	5.554
US	Federal Government	46900000000	47000000000	p	Mobile	
US	Federal Government	46900000000	47000000000	p	Mobile-Satellite (Earth-to-space)	
US	Federal Government	46900000000	47000000000	p	Radionavigation-Satellite	
US	Federal Government	47000000000	48200000000		-	
US	Federal Government	48200000000	50200000000		-	5.555,US342
US	Federal Government	48200000000	50200000000	p	Fixed	
US	Federal Government	48200000000	50200000000	p	Fixed-Satellite (Earth-to-space) 	US297
US	Federal Government	48200000000	50200000000	p	Mobile	US264
US	Federal Government	50200000000	50400000000		-	US246
US	Federal Government	50200000000	50400000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	50200000000	50400000000	p	Space Research (passive)	
US	Federal Government	50400000000	51400000000	p	Fixed	
US	Federal Government	50400000000	51400000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	50400000000	51400000000		-	G117	
US	Federal Government	50400000000	51400000000	p	Mobile	
US	Federal Government	50400000000	51400000000	p	Mobile-Satellite (Earth-to-space)	
US	Federal Government	51400000000	52600000000	p	Fixed	
US	Federal Government	51400000000	52600000000	p	Mobile	
US	Federal Government	52600000000	54250000000		-	US246
US	Federal Government	52600000000	54250000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	52600000000	54250000000	p	Space Research (passive)	
US	Federal Government	54250000000	55780000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	54250000000	55780000000	p	Inter-Satellite	5.556A
US	Federal Government	54250000000	55780000000	p	Space Research (passive)	
US	Federal Government	55780000000	56900000000		-	US263,US353
US	Federal Government	55780000000	56900000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	55780000000	56900000000	p	Fixed	US379
US	Federal Government	55780000000	56900000000	p	Inter-Satellite	5.556A
US	Federal Government	55780000000	56900000000	p	Mobile	5.558
US	Federal Government	55780000000	56900000000	p	Space Research (passive)	
US	Federal Government	56900000000	57000000000		-	US263
US	Federal Government	56900000000	57000000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	56900000000	57000000000	p	Fixed	
US	Federal Government	56900000000	57000000000	p	Inter-Satellite  G128	
US	Federal Government	56900000000	57000000000	p	Mobile	5.558
US	Federal Government	56900000000	57000000000	p	Space Research (passive)	
US	Federal Government	57000000000	58200000000		-	US263
US	Federal Government	57000000000	58200000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	57000000000	58200000000	p	Fixed	
US	Federal Government	57000000000	58200000000	p	Inter-Satellite	5.556A
US	Federal Government	57000000000	58200000000	p	Mobile	5.558
US	Federal Government	57000000000	58200000000	p	Space Research (passive)	
US	Federal Government	58200000000	59000000000		-	US353,US354
US	Federal Government	58200000000	59000000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	58200000000	59000000000	p	Fixed	
US	Federal Government	58200000000	59000000000	p	Mobile	
US	Federal Government	58200000000	59000000000	p	Space Research (passive)	
US	Federal Government	59000000000	59300000000		-	US353
US	Federal Government	59000000000	59300000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	59000000000	59300000000	p	Fixed	
US	Federal Government	59000000000	59300000000	p	Inter-Satellite	5.556A
US	Federal Government	59000000000	59300000000	p	Mobile	5.558
US	Federal Government	59000000000	59300000000	p	Radiolocation	5.559
US	Federal Government	59000000000	59300000000	p	Space Research (passive)	
US	Federal Government	59300000000	64000000000		-	5.138,US353
US	Federal Government	59300000000	64000000000	p	Fixed	
US	Federal Government	59300000000	64000000000	p	Inter-Satellite	
US	Federal Government	59300000000	64000000000	p	Mobile	5.558
US	Federal Government	59300000000	64000000000	p	Radiolocation	5.559
US	Federal Government	64000000000	65000000000	p	Fixed	
US	Federal Government	64000000000	65000000000	p	Inter-Satellite	
US	Federal Government	64000000000	65000000000	p	Mobile except aeronautical mobile	
US	Federal Government	65000000000	66000000000	p	Earth Exploration-Satellite	
US	Federal Government	65000000000	66000000000	p	Fixed	
US	Federal Government	65000000000	66000000000	p	Mobile except aeronautical mobile	
US	Federal Government	65000000000	66000000000	p	Space Research	
US	Federal Government	66000000000	71000000000		-	5.554
US	Federal Government	66000000000	71000000000	p	Mobile	5.553,5.558
US	Federal Government	66000000000	71000000000	p	Mobile-Satellite	
US	Federal Government	66000000000	71000000000	p	Radionavigation	
US	Federal Government	66000000000	71000000000	p	Radionavigation-Satellite	
US	Federal Government	71000000000	74000000000		-	US389
US	Federal Government	71000000000	74000000000	p	Fixed	
US	Federal Government	71000000000	74000000000	p	Fixed-Satellite (space-to-Earth)	
US	Federal Government	71000000000	74000000000	p	Mobile	
US	Federal Government	71000000000	74000000000	p	Mobile-Satellite (space-to-Earth)	
US	Federal Government	74000000000	76000000000		-	US389
US	Federal Government	74000000000	76000000000	p	Fixed	
US	Federal Government	74000000000	76000000000	p	Fixed-Satellite (space-to-Earth)	
US	Federal Government	74000000000	76000000000	p	Mobile	
US	Federal Government	74000000000	76000000000	s	Space Research (space-to-Earth)	
US	Federal Government	76000000000	77500000000		-	US342
US	Federal Government	76000000000	77500000000	p	Radio Astronomy	
US	Federal Government	76000000000	77500000000	p	Radiolocation	
US	Federal Government	76000000000	77500000000	s	Space Research (space-to-Earth)	
US	Federal Government	77500000000	78000000000		-	US342
US	Federal Government	77500000000	78000000000	s	Radio Astronomy	
US	Federal Government	77500000000	78000000000	s	Space Research (space-to-Earth)	
US	Federal Government	78000000000	79000000000		-	5.560,US342
US	Federal Government	78000000000	79000000000	p	Radio Astronomy	
US	Federal Government	78000000000	79000000000	p	Radiolocation	
US	Federal Government	78000000000	79000000000	s	Space Research (space-to-Earth)	
US	Federal Government	79000000000	81000000000		-	US342
US	Federal Government	79000000000	81000000000	p	Radio Astronomy	
US	Federal Government	79000000000	81000000000	p	Radiolocation	
US	Federal Government	79000000000	81000000000	s	Space Research (space-to-Earth)	
US	Federal Government	81000000000	84000000000		-	US342,US388,US389
US	Federal Government	81000000000	84000000000	p	Fixed	
US	Federal Government	81000000000	84000000000	p	Fixed-Satellite (Earth-to-space) 	US297
US	Federal Government	81000000000	84000000000	p	Mobile	
US	Federal Government	81000000000	84000000000	p	Mobile-Satellite (Earth-to-space)	
US	Federal Government	81000000000	84000000000	p	Radio Astronomy	
US	Federal Government	81000000000	84000000000	s	Space Research (space-to-Earth)	
US	Federal Government	84000000000	86000000000		-	US342,US388,US389
US	Federal Government	84000000000	86000000000	p	Fixed	
US	Federal Government	84000000000	86000000000	p	Fixed-Satellite (Earth-to-space)	
US	Federal Government	84000000000	86000000000	p	Mobile	
US	Federal Government	84000000000	86000000000	p	Radio Astronomy	
US	Federal Government	86000000000	92000000000		-	US246
US	Federal Government	86000000000	92000000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	86000000000	92000000000	p	Radio Astronomy	US74
US	Federal Government	86000000000	92000000000	p	Space Research (passive)	
US	Federal Government	92000000000	94000000000		-	US342,US388
US	Federal Government	92000000000	94000000000	p	Fixed	
US	Federal Government	92000000000	94000000000	p	Mobile	
US	Federal Government	92000000000	94000000000	p	Radio Astronomy	
US	Federal Government	92000000000	94000000000	p	Radiolocation	
US	Federal Government	94000000000	94100000000		-	5.562,5.562A
US	Federal Government	94000000000	94100000000	p	Earth Exploration-Satellite (active)	
US	Federal Government	94000000000	94100000000	s	Radio Astronomy	
US	Federal Government	94000000000	94100000000	p	Radiolocation	
US	Federal Government	94000000000	94100000000	p	Space Research (active)	
US	Federal Government	94100000000	95000000000		-	US342,US388
US	Federal Government	94100000000	95000000000	p	Fixed	
US	Federal Government	94100000000	95000000000	p	Mobile	
US	Federal Government	94100000000	95000000000	p	Radio Astronomy	
US	Federal Government	94100000000	95000000000	p	Radiolocation	
US	Federal Government	95000000000	100000000000		-	5.554,US342
US	Federal Government	95000000000	100000000000	p	Fixed	
US	Federal Government	95000000000	100000000000	p	Mobile	
US	Federal Government	95000000000	100000000000	p	Radio Astronomy	
US	Federal Government	95000000000	100000000000	p	Radiolocation	
US	Federal Government	95000000000	100000000000	p	Radionavigation	
US	Federal Government	95000000000	100000000000	p	Radionavigation-Satellite	
US	Federal Government	100000000000	102000000000		-	5.341,US246
US	Federal Government	100000000000	102000000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	100000000000	102000000000	p	Radio Astronomy	US74
US	Federal Government	100000000000	102000000000	p	Space Research (passive)	
US	Federal Government	102000000000	105000000000		-	5.341,US342
US	Federal Government	102000000000	105000000000	p	Fixed	
US	Federal Government	102000000000	105000000000	p	Mobile	
US	Federal Government	102000000000	105000000000	p	Radio Astronomy	
US	Federal Government	105000000000	109500000000		-	5.341,US342
US	Federal Government	105000000000	109500000000	p	Fixed	
US	Federal Government	105000000000	109500000000	p	Mobile	
US	Federal Government	105000000000	109500000000	p	Radio Astronomy	
US	Federal Government	105000000000	109500000000	p	Space Research (passive) 	5.562B
US	Federal Government	109500000000	111800000000		-	5.341,US246
US	Federal Government	109500000000	111800000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	109500000000	111800000000	p	Radio Astronomy	US74
US	Federal Government	109500000000	111800000000	p	Space Research (passive)	
US	Federal Government	111800000000	114250000000		-	5.341,US342
US	Federal Government	111800000000	114250000000	p	Fixed	
US	Federal Government	111800000000	114250000000	p	Mobile	
US	Federal Government	111800000000	114250000000	p	Radio Astronomy	
US	Federal Government	111800000000	114250000000	p	Space Research (passive) 	5.562B
US	Federal Government	114250000000	116000000000		-	5.341,US246
US	Federal Government	114250000000	116000000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	114250000000	116000000000	p	Radio Astronomy	US74
US	Federal Government	114250000000	116000000000	p	Space Research (passive)	
US	Federal Government	116000000000	122250000000		-	5.138,5.341,US211
US	Federal Government	116000000000	122250000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	116000000000	122250000000	p	Inter-Satellite	5.562C
US	Federal Government	116000000000	122250000000	p	Space Research (passive)	
US	Federal Government	122250000000	123000000000		-	5.138
US	Federal Government	122250000000	123000000000	p	Fixed	
US	Federal Government	122250000000	123000000000	p	Inter-Satellite	
US	Federal Government	122250000000	123000000000	p	Mobile	5.558
US	Federal Government	123000000000	130000000000		-	5.554,US211,US342
US	Federal Government	123000000000	130000000000	p	Fixed-Satellite (space-to-Earth)	
US	Federal Government	123000000000	130000000000	p	Mobile-Satellite (space-to-Earth)	
US	Federal Government	123000000000	130000000000	s	Radio Astronomy	
US	Federal Government	123000000000	130000000000	p	Radionavigation	
US	Federal Government	123000000000	130000000000	p	Radionavigation-Satellite	
US	Federal Government	130000000000	134000000000		-	5.562A,US342
US	Federal Government	130000000000	134000000000	p	Earth Exploration-Satellite (active) 	5.562E
US	Federal Government	130000000000	134000000000	p	Fixed	
US	Federal Government	130000000000	134000000000	p	Inter-Satellite	
US	Federal Government	130000000000	134000000000	p	Mobile	5.558
US	Federal Government	130000000000	134000000000	p	Radio Astronomy	
US	Federal Government	134000000000	136000000000	s	Radio Astronomy	
US	Federal Government	136000000000	141000000000		-	US342
US	Federal Government	136000000000	141000000000	p	Radio Astronomy	
US	Federal Government	136000000000	141000000000	p	Radiolocation	
US	Federal Government	141000000000	148500000000		-	US342
US	Federal Government	141000000000	148500000000	p	Fixed	
US	Federal Government	141000000000	148500000000	p	Mobile	
US	Federal Government	141000000000	148500000000	p	Radio Astronomy	
US	Federal Government	141000000000	148500000000	p	Radiolocation	
US	Federal Government	148500000000	151500000000		-	US246
US	Federal Government	148500000000	151500000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	148500000000	151500000000	p	Radio Astronomy	US74
US	Federal Government	148500000000	151500000000	p	Space Research (passive)	
US	Federal Government	151500000000	155500000000		-	US342
US	Federal Government	151500000000	155500000000	p	Fixed	
US	Federal Government	151500000000	155500000000	p	Mobile	
US	Federal Government	151500000000	155500000000	p	Radio Astronomy	
US	Federal Government	151500000000	155500000000	p	Radiolocation	
US	Federal Government	155500000000	158500000000		-	5.562F,5.562G,US342
US	Federal Government	155500000000	158500000000	p	Earth Exploration-Satellite (passive)	
US	Federal Government	155500000000	158500000000	p	Fixed	
